Date,Land Area,Price per m2,Price Total,Subdistrict,Regency,Land Area Category
2024-04-25,561.0,2994652.4064171123,1680000000.0,Nusa Penida,Klungkung,medium
2024-04-25,340.0,4500000.0,1530000000.0,Ubud,Gianyar,medium
2024-04-25,1700.0,4435294.117647059,7540000000.0,Nusa Penida,Klungkung,large
2024-04-25,200.0,900000.0,180000000.0,Nusa Penida,Klungkung,small
2024-04-25,300.0,4150000.0000000005,1245000000.0000002,Denpasar Timur,Denpasar,small
2024-04-26,1725.0,2997101.4492753623,5170000000.0,Nusa Penida,Klungkung,large
2024-04-25,485.0,18000000.0,8730000000.0,Jimbaran,Badung,medium
2024-03-30,1000.0,7500000.0,7500000000.0,Uluwatu,Badung,medium
2024-01-30,1950.0,13000000.0,25350000000.0,Pecatu,Badung,large
2024-02-29,850.0,5850000.0,4972500000.0,Jimbaran,Badung,medium
2024-03-30,1500.0,13000000.0,19500000000.0,Nusa Dua,Badung,medium
2024-04-22,1500.0,3000000.0,4500000000.0,Lalanglinggah,Tabanan,medium
2024-01-30,726.0,7000000.0,5082000000.0,Uluwatu,Badung,medium
2024-04-25,150.0,13500000.0,2025000000.0,Canggu,Badung,small
2024-03-30,517.0,7500000.0,3877500000.0,Nusa Dua,Badung,medium
2024-02-29,710.0,10000000.0,7100000000.0,Ubud,Gianyar,medium
2024-01-30,700.0,15000000.0,10500000000.0,Pecatu,Badung,medium
2024-01-30,200.0,12000000.0,2400000000.0,Pererenan,Badung,small
2024-02-29,1350.0,9000000.0,12150000000.0,Pererenan,Badung,medium
2024-02-29,6600.0,4500000.0,29700000000.0,Beraban,Tabanan,large
2024-04-25,200.0,2750000.0,550000000.0,Ubud,Gianyar,small
2024-04-25,300.0,9800000.0,2940000000.0,Pecatu,Badung,small
2024-02-29,300.0,5000000.0,1500000000.0,Ketewel,Gianyar,small
2024-04-15,413.0,16500000.0,6814500000.0,Pererenan,Badung,medium
2024-01-30,5220.0,1750000.0,9135000000.0,Kelating,Tabanan,large
2024-02-29,543.0,5500000.0,2986500000.0,Ungasan,Badung,medium
2024-03-30,918.0,13000000.0,11934000000.0,Jimbaran,Badung,medium
2024-04-22,730.0,12000000.0,8760000000.0,Umalas,Badung,medium
2023-12-31,5400.0,2500000.0,13500000000.0,Kaba kaba,Tabanan,large
2024-04-08,1800.0,8000000.0,14400000000.0,Ungasan,Badung,large
2024-04-25,205.0,5707317.073170732,1170000000.0,Padangsambian,Denpasar,small
2024-04-25,904.0,3500000.0,3164000000.0,Kemenuh,Gianyar,medium
2024-04-25,1735.0,5500000.0,9542500000.0,Blahbatuh,Gianyar,large
2024-03-30,448.0,12500000.0,5600000000.0,Canggu,Badung,medium
2024-04-22,800.0,13125000.0,10500000000.0,Kerobokan,Badung,medium
2024-04-25,195.0,8461538.461538462,1650000000.0,Dalung,Badung,small
2024-04-25,240.0,4950000.0,1188000000.0,Jimbaran,Badung,small
2024-04-25,352.0,19000000.0,6688000000.0,Nusa Dua,Badung,medium
2024-04-25,354.0,9000000.0,3186000000.0,Canggu,Badung,medium
2024-04-22,730.0,12000000.0,8760000000.0,Umalas,Badung,medium
2024-04-24,1725.0,11594202.898550725,20000000000.0,Canggu,Badung,large
2024-04-25,500.0,16500000.0,8250000000.0,Dewi Sri,Badung,medium
2024-04-25,180.0,2777777.777777778,500000000.0,Dauhpeken,Tabanan,small
2024-04-25,700.0,12000000.0,8400000000.0,Kerobokan,Badung,medium
2024-04-25,310.0,12000000.0,3720000000.0,Kerobokan,Badung,medium
2024-04-25,200.0,2750000.0,550000000.0,Ubud,Gianyar,small
2024-04-24,1950.0,14974358.974358974,29200000000.0,Uluwatu,Badung,large
2024-04-24,1000.0,4500000.0,4500000000.0,Belalang,Tabanan,medium
2024-04-24,1005.0,16500000.0,16582500000.0,Cemagi,Badung,medium
2024-04-24,650.0,4846153.846153846,3150000000.0,Belalang,Tabanan,medium
2024-04-24,1500.0,1000000.0,1500000000.0,Munduk,Buleleng,medium
2024-04-08,300.0,2083333.3333333333,625000000.0,Kerambitan,Tabanan,small
2024-04-24,2240.0,2232142.8571428573,5000000000.0,Lukluk,Badung,large
2023-12-01,2600.0,4500000.0,11700000000.0,Kuta,Badung,large
2024-04-24,200.0,5500000.0,1100000000.0,Pemogan,Denpasar,small
2023-12-01,900.0,5500000.0,4950000000.0,Nusa Dua,Badung,medium
2024-04-24,300.0,6500000.0,1950000000.0,Pemogan,Denpasar,small
2024-02-29,3000.0,3000000.0,9000000000.0,Goa Gong,Badung,large
2023-12-31,550.0,10909090.909090908,6000000000.0,Sunset Road,Badung,medium
2024-04-24,213.0,13474178.403755868,2870000000.0,Cemagi,Badung,small
2024-04-24,365.0,3950000.0,1441750000.0,Nyitdah,Tabanan,medium
2024-04-24,160.0,8125000.0,1300000000.0,Jimbaran,Badung,small
2024-01-30,5994.0,3300000.0,19780200000.0,Lodtunduh,Gianyar,large
2024-04-08,252.0,1350000.0,340200000.0,Seminyak,Badung,small
2024-04-24,4120.0,699029.1262135922,2880000000.0,Selemadeg,Tabanan,large
2024-04-24,150.0,12666666.666666666,1900000000.0,Jimbaran,Badung,small
2024-04-24,2580.0,4950000.0,12771000000.0,Benoa,Badung,large
2024-04-22,179.0,6983240.223463687,1250000000.0,Sesetan,Denpasar,small
2023-12-01,1000.0,5500000.0,5500000000.0,Mengwi,Badung,medium
2024-04-22,250.0,5750000.0,1437500000.0,Nusa Dua,Badung,small
2024-04-15,226.0,3750000.0,847500000.0,Ungasan,Badung,small
2024-04-24,270.0,4000000.0,1080000000.0,Benoa,Badung,small
2023-12-01,3000.0,4500000.0,13500000000.0,Pecatu,Badung,large
2024-04-24,1490.0,536912.7516778524,800000000.0,Anturan,Buleleng,medium
2024-04-24,1600.0,3500000.0,5600000000.0,Ubud,Gianyar,large
2023-12-31,100.0,2600000.0,260000000.0,Bongan,Tabanan,small
2024-04-24,1800.0,12000000.0,21600000000.0,Jimbaran,Badung,large
2024-04-24,174.0,3500000.0,609000000.0,Ungasan,Badung,small
2024-04-24,200.0,3750000.0,750000000.0,Nusa Dua,Badung,small
2024-04-24,500.0,13000000.0,6500000000.0,Denpasar Barat,Denpasar,medium
2024-04-24,475.0,16989473.684210528,8070000000.0,Sunset Road,Badung,medium
2024-04-24,1300.0,3500000.0,4550000000.0,Nusa Dua,Badung,medium
2024-04-24,465.0,10000000.0,4650000000.0,Gelogor Carik,Denpasar,medium
2024-04-24,3000.0,2500000.0,7500000000.0,Nusa Dua,Badung,large
2024-04-24,1500.0,2500000.0,3750000000.0,Bunutan,Karangasem,medium
2024-04-24,1725.0,11600000.0,20010000000.0,Canggu,Badung,large
2024-04-24,250.0,10000000.0,2500000000.0,Panjer,Denpasar,small
2024-04-24,145.0,15000000.0,2175000000.0,Mengwi,Badung,small
2024-04-24,200.0,4500000.0,900000000.0,Pejeng Kelod,Gianyar,small
2024-04-24,200.0,18000000.0,3600000000.0,Canggu,Badung,small
2024-04-24,800.0,5750000.0,4600000000.0,Denpasar Barat,Denpasar,medium
2024-04-24,100.0,2750000.0,275000000.0,Canggu,Badung,small
2024-04-24,66.0,6969696.96969697,460000000.0,Denpasar Barat,Denpasar,small
2024-04-24,700.0,2750000.0,1925000000.0,Canggu,Badung,medium
2024-04-24,82.0,2000000.0,164000000.0,Mengwi,Badung,small
2024-04-24,855.0,730994.1520467836,625000000.0,Ubung Kaja,Denpasar,medium
2024-04-24,300.0,13500000.0,4050000000.0,Seminyak,Badung,small
2024-04-24,1800.0,9000000.0,16200000000.0,Denpasar Barat,Denpasar,large
2024-04-22,855.0,6250000.0,5343750000.0,Denpasar Barat,Denpasar,medium
2024-04-24,855.0,6245614.03508772,5340000000.0,Denpasar Utara,Denpasar,medium
2024-01-30,1200.0,3500000.0,4200000000.0,Kubutambahan,Buleleng,medium
2024-01-30,87.0,1551724.1379310344,135000000.0,Sukasada,Buleleng,small
2024-03-30,565.0,1450000.0,819250000.0,Bedugul,Tabanan,medium
2024-04-24,400.0,3000000.0,1200000000.0,Dalung,Badung,medium
2024-04-24,855.0,6245614.03508772,5340000000.0,Gatot Subroto,Denpasar,medium
2024-04-24,1465.0,6266211.604095563,9180000000.0,Nusa Dua,Badung,medium
2023-12-31,250.0,17000000.0,4250000000.0,Canggu,Badung,small
2024-04-01,250.0,6500000.0,1625000000.0,Nusa Dua,Badung,small
2024-04-24,200.0,4250000.0,850000000.0,Jimbaran,Badung,small
2024-04-24,250.0,3800000.0,950000000.0,Benoa,Badung,small
2024-04-24,855.0,6245614.03508772,5340000000.0,Denpasar Utara,Denpasar,medium
2024-04-24,200.0,5000000.0,1000000000.0,Pecatu,Badung,small
2024-04-24,700.0,5500000.0,3850000000.0,Kuta Selatan,Badung,medium
2024-04-24,409.0,7995110.024449877,3270000000.0,Denpasar Timur,Denpasar,medium
2024-04-24,1500.0,600000.0,900000000.0,Munduk,Buleleng,medium
2024-04-24,2050.0,5250000.0,10762500000.0,Ungasan,Badung,large
2024-04-24,2590.0,200000.0,518000000.0,Apuan,Tabanan,large
2024-04-24,200.0,5500000.0,1100000000.0,Ungasan,Badung,small
2024-04-24,1000.0,4500000.0,4500000000.0,Puri Gading,Badung,medium
2024-04-08,600.0,8500000.0,5100000000.0,Denpasar Barat,Denpasar,medium
2024-04-24,180.0,5000000.0,900000000.0,Ungasan,Badung,small
2024-04-08,2770.0,6500000.0,18005000000.0,Pecatu,Badung,large
2024-04-22,246.0,5500000.0,1353000000.0,Jimbaran,Badung,small
2024-04-08,200.0,6000000.0,1200000000.0,Ungasan,Badung,small
